,Title,Class,,,Class,Genre,Count,Percentage
237,Cowboys of the Sea,2,,,,,,
238,I Expect You to Die,1,,,,,,
239,High Towers,7,,,,,,
240,Walk,7,,,,,,
241,Don't You Dare Forget the Sun,2,,,,,,
242,Viva La Vida,2,,,,,,
243,Head Up,2,,,,,,
244,Handmaid,7,,,,,,
245,Devil Trigger,4,,,,,,
246,Victorious (Ready Player One),4,,,,,,
247,Last Surprise,5,,,,,,
248,Primo Victoria,5,,,,,,
249,Everybody Loves Me,2,,,,,,
250,good 4 u,4,,,,,,
251,Wizards!,6,,,,,,
252,Lullaby of Woe,1,,,,,,
253,The Sound of Silence,3,,,,,,
254,Silent Tears of Frozen Princess,2,,,,,,
255,Angus McFife,6,,,,,,
256,You'll Be Back,3,,,,,,
257,Defence of Moscow,6,,,,,,
258,Hungry for Another One,3,,,,,,
259,Perpetual Bliss,0,,,,,,
260,Rip & Tear,0,,,,,,
261,Warbringers: Jaina,3,,,,,,
262,Seven Nation Army - The Glitch Mob Remix,0,,,,,,
263,Fight Back,4,,,,,,
264,My Lullaby,2,,,,,,
265,In The Dark of the Night,1,,,,,,
266,Eye Of The Storm,5,,,,,,
267,The Point of No Return,2,,,,,,
268,Ysma's Song,6,,,,,,
269,Nova,0,,,,,,
270,What's Wrong,4,,,,,,
271,Cull,5,,,,,,
272,Thornmail,2,,,,,,
273,Blade of the Ruined King,0,,,,,,
274,Battle in the Sky,2,,,,,,
275,Interstellar Weather,2,,,,,,
276,Teir Abhaile Riu,3,,,,,,
277,Tír na nÓg,2,,,,,,
278,Yggdrasil,5,,,,,,
279,Reckless with my heart,7,,,,,,
280,Oh Oh Oh Sexy Vampire - S3rl & Justinb Remix,4,,,,,,
281,"Holding Out for a Hero - From ""Footloose"" Soundtrack",2,,,,,,
282,Prophecy of Ragnarök,7,,,,,,
283,Overdrive,2,,,,,,
284,"Answers (From ""Final Fantasy XIV"")",3,,,,,,
285,Madness,2,,,,,,
286,Crossfire,2,,,,,,
287,Rumor!,4,,,,,,
288,Sick Outta Fashion,4,,,,,,
289,Wanted,4,,,,,,
290,The Truth,3,,,,,,
291,Burn Blue (Feat. 2junsupermagnificent),7,,,,,,
292,C'est la vie,5,,,,,,
293,Ghost,5,,,,,,
294,Exposed,7,,,,,,
295,Hellfire,5,,,,,,
296,Digital World,7,,,,,,
297,Goddess of the Rain,7,,,,,,
298,Spowoky Owoky Pumpkin,3,,,,,,
299,Awaken,2,,,,,,
300,"""F""",6,,,,,,
301,The Bloodthirster,2,,,,,,
302,Appasayo,1,,,,,,
303,Necessary Evil,6,,,,,,
304,Ragin' Ray and Jin,4,,,,,,
305,Drunk Arcade (Radio Edit),5,,,,,,
306,"Ultimate Battle - Ka Ka Kachi Daze (From ""Dragon Ball Super"")",2,,,,,,
307,Polar Opposite,3,,,,,,
308,Toxic Love,7,,,,,,
309,Deathfire Grasp,2,,,,,,
310,"You're an Ace, Kid",4,,,,,,
311,Playing With The Big Boys,2,,,,,,
312,Be Prepared - 2019 Version,5,,,,,,
313,Poor Unfortunate Souls,2,,,,,,
314,"Boku no Sensou (My War) [from ""Attack on Titan Season 4""]",0,,,,,,
315,Boku no Sensou - TV Size,7,,,,,,
316,The New Legends,7,,,,,,
317,Addict,2,,,,,,
318,Warriors,1,,,,,,
319,Room to Fall,7,,,,,,
320,Bells of Notre Dame,2,,,,,,
321,Bury the Light,0,,,,,,
322,Tear of the Goddess,5,,,,,,
323,Lightbringer,6,,,,,,
324,Mortal Reminder,2,,,,,,
325,VILLAIN,5,,,,,,
326,THE BADDEST,7,,,,,,
327,MORE,7,,,,,,
328,POP/STARS,2,,,,,,
329,Skeletons (with Bryce Fox),6,,,,,,
330,Killer,5,,,,,,
331,Dungeon Master,4,,,,,,
332,Through the Fire and Flames,2,,,,,,
333,Hootsforce,7,,,,,,
334,Everytime We Touch,2,,,,,,
335,From a Place of Love,3,,,,,,
336,"Red Like Roses - Part II (From ""RWBY"")",4,,,,,,
337,AMERICA,4,,,,,,
338,QUEEN OF THE FREAKS,5,,,,,,
339,Phantomcat of Meowloween,1,,,,,,
340,Inmate 4859,2,,,,,,
341,Resist and Bite,2,,,,,,
342,MONSTER,5,,,,,,
343,How to Be a Heartbreaker,6,,,,,,
344,Come With Me,7,,,,,,
345,This Little Girl,4,,,,,,
346,I Touch Myself,0,,,,,,
347,What the Hell,6,,,,,,
348,Liar,1,,,,,,
349,Fading Light,2,,,,,,
350,Tomorrow We Fight,1,,,,,,
351,Born Ready (Reimagined),3,,,,,,
352,"Cruel Angel's Thesis (From ""Neon Genesis Evangelion"")",5,,,,,,
353,Epoch - The Living Tombstone Remix,2,,,,,,
354,Supernova,5,,,,,,
355,Zenzenzense - English ver.,2,,,,,,
356,Sparkle - English ver.,2,,,,,,
357,Nandemonaiya - English ver.,2,,,,,,
358,Dream lantern - English ver.,2,,,,,,
359,Madness,1,,,,,,
360,Riot,6,,,,,,
361,(Do You Wanna Date My) Avatar (feat. Felicia Day),6,,,,,,
362,Army Of The Night,2,,,,,,
363,Demons Are A Girl's Best Friend,2,,,,,,
364,We Drink Your Blood,5,,,,,,
365,Bad Apple!! - English Remaster,0,,,,,,
366,Sanctified with Dynamite,5,,,,,,
367,Bismarck,7,,,,,,
368,Take Over,1,,,,,,
369,I'm Blinded by the Lights,5,,,,,,
370,JOJO SONO CHINO SADAME,7,,,,,,
371,JoJo Pose,4,,,,,,
372,Nightmares & Flare Guns,5,,,,,,
373,Only One King,6,,,,,,
374,Lies,5,,,,,,
375,Monster,0,,,,,,
376,Big Bad Wolf,2,,,,,,
377,Demons,6,,,,,,
378,Whatever It Takes,5,,,,,,
379,Twisted,1,,,,,,
380,BLAME IT ON THE KIDS,5,,,,,,
381,Anti-Gravity,5,,,,,,
382,Rule the World,4,,,,,,
383,Battlefield,5,,,,,,
384,Freaks Like Us,2,,,,,,
385,"Daddy! Daddy! Do! (from ""Kaguya-Sama: Love is War"")",5,,,,,,
386,Teddy Boy (feat. TeddyLoid),7,,,,,,
387,King of the World,6,,,,,,
388,No One Stands Alone,2,,,,,,
389,Call My Name,5,,,,,,
390,Für Elise Nightmare,0,,,,,,
391,Bad Apple,6,,,,,,
392,Keter Qualities,4,,,,,,
393,"Contradiction (From ""The God of High School"")",7,,,,,,
394,Kings & Queens - Radio,5,,,,,,
395,"I Say Yes (From ""Zero no Tsukaima"")",3,,,,,,
396,Till I Collapse,4,,,,,,
397,Glad You Came,5,,,,,,
398,Take Me! - Helltaker Song,0,,,,,,
399,Vitality,0,,,,,,
400,Antidote,2,,,,,,
401,Nightcore Wildfire,2,,,,,,
402,A Cruel Angel Thesis: 3.0+1.0: The End of Evangelion,6,,,,,,
403,Shelter,2,,,,,,
404,Stronger,1,,,,,,
405,Unity,5,,,,,,
406,Fly Away,5,,,,,,
407,Life's A Mess (feat. Halsey),3,,,,,,
408,EVIL,4,,,,,,
409,"Hero Too (From ""My Hero Academia"")",7,,,,,,
410,PLAYLOUD,6,,,,,,
411,Lullaby,5,,,,,,
412,Widowmaker,5,,,,,,
413,We'll Meet Again,5,,,,,,
414,"Snow Fairy (From ""Fairy Tail"")",5,,,,,,
415,Runnin',5,,,,,,
416,RABBIT HOLE,7,,,,,,
417,After Dark (feat. Fiora),0,,,,,,
418,i feel bad,7,,,,,,
419,Within (Goblin Slayer Episode Twelve inserted song),1,,,,,,
420,Lava,5,,,,,,
421,Shatter Me Featuring Lzzy Hale,2,,,,,,
422,"Netsujou no Spectrum (from ""Seven Deadly Sins"")",7,,,,,,
423,Rivers in the Desert,2,,,,,,
424,Bathtub Mermaid,1,,,,,,
425,Heroes (we could be),6,,,,,,
426,Mind Brand,5,,,,,,
427,Alkatraz,4,,,,,,
428,Sociopath,5,,,,,,
429,Undead Lullaby,2,,,,,,
430,Bragging,5,,,,,,
431,Broken String,5,,,,,,
432,As We Fall,5,,,,,,
433,Awaken,3,,,,,,
434,Rise,2,,,,,,
435,Discord - The Living Tombstone Remix,5,,,,,,
436,Crazy Fuckin' Robot Body,2,,,,,,
437,world.search (you) ;,6,,,,,,
438,Stronger,1,,,,,,
439,Legend,6,,,,,,
440,The Champion,6,,,,,,
441,sustain++;,2,,,,,,
442,Human,3,,,,,,
443,world.execute (me) ;,0,,,,,,
444,Rightfully (TV Animation Goblin Slayer opening),2,,,,,,
445,Deadmen,6,,,,,,
446,The Lost Battalion,2,,,,,,
447,Death of Me,6,,,,,,
448,Nicotine,3,,,,,,
449,Tinted Eyes (feat. blackbear & 24kGoldn),5,,,,,,
450,My Mind (L Rap),4,,,,,,
451,Shots (Overhaul Rap) [feat. Fabvl],4,,,,,,
452,To Hell and Back,6,,,,,,
453,Smoking Snakes,1,,,,,,
454,"Clattanoia (From ""Overlord"")",6,,,,,,
455,Down (Nagisa Rap) [feat. Shwabadi],4,,,,,,
456,Six Feet,5,,,,,,
457,High While the World Ends,2,,,,,,
458,Hero of Our Time,7,,,,,,
459,Hate Me,5,,,,,,
460,Jericho,6,,,,,,
461,Everything Black,5,,,,,,
462,RISE,2,,,,,,
463,Diggy Diggy Hole,2,,,,,,
464,Raging (feat. Kodaline),5,,,,,,
465,Faded,6,,,,,,
466,One More Night,5,,,,,,
467,Payphone,7,,,,,,
468,Animals,7,,,,,,
469,Sugar,6,,,,,,
470,Counting Stars,5,,,,,,
471,Little Talks,6,,,,,,
472,Sail,0,,,,,,
473,Monster,6,,,,,,
474,Feel Invincible,7,,,,,,
475,Rule the World,1,,,,,,
476,Cold-Blooded,2,,,,,,
477,New Blood,2,,,,,,
478,Gladiator,7,,,,,,
479,Leave It All Behind,2,,,,,,
480,Legends Never Die,2,,,,,,
481,Fortuna (Warframe),3,,,,,,
482,Drown (feat. Clinton Kane) - Nicky Romero Remix,5,,,,,,
483,"We All Lift Together (From ""Warframe"")",3,,,,,,
484,Iris,1,,,,,,
485,Mama,2,,,,,,
486,Welcome to the Black Parade,6,,,,,,
487,dying breath,6,,,,,,
488,Royalty,6,,,,,,
489,Survive (Ban Rap) [feat. DaisyBanaisy],2,,,,,,
490,Mr. Brightside,6,,,,,,
491,When Dragons Cry,5,,,,,,
492,They Don't Care About Us,4,,,,,,
493,Unravel,5,,,,,,
494,Sail Away,2,,,,,,
495,Dreamer,7,,,,,,
496,Punches,2,,,,,,
497,Voodoo,6,,,,,,
498,Lucy,6,,,,,,
499,Heaven on Hold,6,,,,,,
500,Coldhearted,5,,,,,,
501,Stomp Me Out,2,,,,,,
502,Starlight,5,,,,,,
503,Midnight Addiction,5,,,,,,
504,Outrunning Karma,1,,,,,,
505,Sweet Tooth,6,,,,,,
506,Mister Glassman,6,,,,,,
507,Start a Fire,2,,,,,,
508,"Jingo Jungle (From ""Saga of Tanya the Evil"")",2,,,,,,
509,"Question (From ""Assassination Classroom"")",7,,,,,,
510,Lifelight (from “Super Smash Bros. Ultimate”),7,,,,,,
511,"Rise (From ""The Rising of the Shield Hero"")",2,,,,,,
512,Voldemort,7,,,,,,
513,Killer In The Mirror,5,,,,,,
514,I'll Sleep When I'm Dead,2,,,,,,
515,Wolf in Sheep's Clothing (feat. William Beckett),7,,,,,,
516,Night Witches,7,,,,,,
517,Burning Brighter,5,,,,,,
518,The Dead Can't Testify,2,,,,,,
519,The Mystic,5,,,,,,
520,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,3,,,,,,
521,Control,5,,,,,,
522,Carnivore,6,,,,,,
523,My Demons,2,,,,,,
524,Attention,5,,,,,,
525,Rich Love (with Seeb),4,,,,,,
526,I Took A Pill In Ibiza - Seeb Remix,5,,,,,,
527,Tiger Blood,4,,,,,,
528,It Has Begun,6,,,,,,
529,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",7,,,,,,
530,Hit and Run,5,,,,,,
531,Mad Hatter,6,,,,,,
532,Courtesy Call,2,,,,,,
533,For the Glory,5,,,,,,
534,Hail to the King,5,,,,,,
535,Mine,7,,,,,,
536,Forgive Me,2,,,,,,
537,White Rabbit,2,,,,,,
538,Bang!,5,,,,,,
539,Rumors,6,,,,,,
540,Sweet but Psycho,6,,,,,,
541,This Is War,6,,,,,,
542,"This Game (From ""No Game No Life"")",6,,,,,,
543,Doom Days,5,,,,,,
544,JEKYLL & HIDE,5,,,,,,
545,Heart Afire,2,,,,,,
546,CEMETERY,5,,,,,,
547,Godzilla (feat. Juice WRLD),4,,,,,,
548,"Till I Die (From ""Kill La Kill"")",2,,,,,,
549,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",2,,,,,,
550,Kiss of Death,6,,,,,,
551,My Darling,4,,,,,,
552,"Rain (From ""Fullmetal Alchemist: Brotherhood"")",2,,,,,,
553,"Red Like Roses, Pt. 2",2,,,,,,
554,Partners in Crime (feat. Ash Costello),2,,,,,,
555,Before My Body Is Dry feat. Lollia (dj-Jo Remix),5,,,,,,
556,ECHO (feat. Gumi) [dj-Jo Remix],5,,,,,,
557,"PAPERMOON (from ""Soul Eater"")",2,,,,,,
558,"Seven Deadly Sins (From ""Seven Deadly Sins"") [feat. PelleK]",1,,,,,,
559,Is There Still Anything That Love Can Do? (English Version),2,,,,,,
560,Voracity,6,,,,,,
561,L.L.L.,5,,,,,,
562,Fairy Tail Main Theme (dj-Jo Remix),5,,,,,,
563,Sign of the Times,6,,,,,,
564,Lalala,6,,,,,,
565,Die Peacefully,0,,,,,,
566,Diving in Too Deep,5,,,,,,
567,Kingdom Come,4,,,,,,
568,Paper Planes,6,,,,,,
569,Jungle,4,,,,,,
570,Waves Of Loneliness,6,,,,,,
571,Simple & Sweet,3,,,,,,
572,Luxury,3,,,,,,
573,Sad Song,4,,,,,,
574,JT,6,,,,,,
575,Middle Finger,5,,,,,,
576,Born For This,5,,,,,,
577,thoughts & prayers,2,,,,,,
578,Solo,1,,,,,,
579,Renegades,6,,,,,,
580,Paris,6,,,,,,
581,Sanity,5,,,,,,
582,lovely (with Khalid),3,,,,,,
583,Something Just Like This,5,,,,,,
584,Superhero,7,,,,,,
585,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",6,,,,,,
586,Sweet Dreams (Are Made of This) - Remastered,5,,,,,,
587,Phoenix (Carpenter Brut Remix),2,,,,,,
588,"Into the Unknown - From ""Frozen 2""",6,,,,,,
589,GIANTS,4,,,,,,
590,Sarcasm,7,,,,,,
591,Zombie,2,,,,,,
592,Maniac,7,,,,,,
593,Revolver,0,,,,,,
594,Take It Back,3,,,,,,
595,Ayleeyuns,2,,,,,,
596,High Definition,3,,,,,,
597,Legacy,5,,,,,,
598,I'm Ready,6,,,,,,
599,Stand Up,6,,,,,,
600,Revolution,7,,,,,,
601,Humble,5,,,,,,
602,Netflix Trip,2,,,,,,
603,Wanted,6,,,,,,
604,Afterlife,5,,,,,,
605,Sick Boy,5,,,,,,
606,Crocodile Tears,4,,,,,,
607,Believer,5,,,,,,
608,It’s Only (feat. Zyra) - ODESZA VIP Remix,0,,,,,,
609,Trampoline,5,,,,,,
610,Dizzy,1,,,,,,
611,Immigrant Song - Remaster,7,,,,,,
612,Darkside,2,,,,,,
613,Another Level,2,,,,,,
614,We Are Young (feat. Janelle Monáe),2,,,,,,
615,Dear Future Self (Hands Up) [feat. Wyclef Jean],4,,,,,,
616,"""The Take Over, The Breaks Over""",6,,,,,,
617,Centuries,2,,,,,,
618,Blood // Water,4,,,,,,
619,Hate Me - R3HAB Remix,2,,,,,,
620,Just One Yesterday,7,,,,,,
621,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),5,,,,,,
622,HandClap,6,,,,,,
623,The Mighty Fall,4,,,,,,
624,Save Rock And Roll,2,,,,,,
625,Welcome to the Party (feat. Zhavia),6,,,,,,
626,"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",3,,,,,,
627,Crop Circles,5,,,,,,
628,Alone Together,6,,,,,,
629,The Good In Me,1,,,,,,
630,Sad Still,4,,,,,,
631,Run Wild,4,,,,,,
632,I Don't Care - Single Version,7,,,,,,
633,Boy In The Bubble,5,,,,,,
634,Dead Man Walking,4,,,,,,
635,Friends,4,,,,,,
636,Horns,2,,,,,,
637,The Entertainment's Here,6,,,,,,
638,Next Up Forever,2,,,,,,
639,While You Count Sheep,6,,,,,,
640,Fashion,3,,,,,,
641,Thief,2,,,,,,
642,rock + roll,3,,,,,,
643,Maybe IDK,2,,,,,,
644,Karma,2,,,,,,
645,Hand Of God - Outro,2,,,,,,
646,Woke The F*ck Up,6,,,,,,
647,80's Films,1,,,,,,
648,iRobot,2,,,,,,
649,Heroes,5,,,,,,
650,Overwhelming,4,,,,,,
651,Guillotine,4,,,,,,
652,Beautiful Now,5,,,,,,
653,Blu,6,,,,,,
654,All Time Low,6,,,,,,
655,Morning In America,6,,,,,,
656,Under Pressure - Remastered 2011,6,,,,,,
657,Boys Will Be Bugs,6,,,,,,
658,Sick Boy,2,,,,,,
659,Out My Head,5,,,,,,
660,Empress,1,,,,,,
661,Bone Dry,2,,,,,,
662,Samurai (feat. Katy Tiz),5,,,,,,
663,Limelight (NGHTMRE Remix),2,,,,,,
664,"Me, Myself & I",5,,,,,,
665,Hey Brother,2,,,,,,
666,DJ Got Us Fallin' In Love,5,,,,,,
667,Break Your Heart,6,,,,,,
668,Royals,3,,,,,,
669,Love,3,,,,,,
670,Six Feet Under,3,,,,,,
671,watch,3,,,,,,
672,ocean eyes,3,,,,,,
673,WHEN I WAS OLDER - Music Inspired By The Film ROMA,0,,,,,,
674,Idle Town,3,,,,,,
675,all the good girls go to hell,4,,,,,,
676,Can't Feel My Face,5,,,,,,
677,Ride,6,,,,,,
678,Powerful,1,,,,,,
679,Hide Away,5,,,,,,
